response_id,timestamp,date,channel,page_url,device,csat_score,nps_score,ces_score,verbatim,journey_stage,sentiment,resolved
MED-5001,2026-04-16T14:33:00,2026-04-16,web_intercept,/order/build-your-own,mobile,2,3,4,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,negative,False
MED-5002,2026-04-16T21:43:00,2026-04-16,email_survey,/rewards/signup,desktop,2,2,6,"Signup form is broken. Used my normal email, clicked submit, nothing happened. No error, no confirmation, nothing.",signup,negative,False
MED-5003,2026-04-16T20:05:00,2026-04-16,post_purchase,/rewards/signup,mobile,2,1,7,"The signup form won't accept my email address. No error message, just nothing happens when I click submit.",signup,negative,False
MED-5004,2026-04-16T16:05:00,2026-04-16,email_survey,/rewards/signup,desktop,2,2,6,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,negative,False
MED-5005,2026-04-16T19:10:00,2026-04-16,email_survey,/menu,desktop,3,8,1,Really enjoy the recipes section. Made the classic lime at home!,browse,neutral,True
MED-5006,2026-04-16T10:30:00,2026-04-16,app_feedback,/rewards/signup,mobile,3,2,5,"The signup form won't accept my email address. No error message, just nothing happens when I click submit.",signup,neutral,True
MED-5007,2026-04-16T13:08:00,2026-04-16,email_survey,/rewards/signup,mobile,1,3,7,I want to join the rewards program but the email field rejects my address. Please fix this.,signup,negative,False
MED-5008,2026-04-16T20:08:00,2026-04-16,email_survey,/order/checkout,mobile,2,2,7,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,False
MED-5009,2026-04-16T14:07:00,2026-04-16,web_intercept,/menu,desktop,5,10,3,"Great margaritas, website could use some work though.",browse,positive,True
MED-5010,2026-04-16T13:49:00,2026-04-16,app_feedback,/order/checkout,desktop,2,1,5,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5011,2026-04-16T12:00:00,2026-04-16,web_intercept,/order/checkout,mobile,2,1,7,"Page is so slow I thought my browser crashed. Then the address form reset. This is 2026, how is this still a problem?",checkout,negative,False
MED-5012,2026-04-16T13:34:00,2026-04-16,web_intercept,/order/checkout,mobile,2,3,6,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,negative,True
MED-5013,2026-04-16T11:41:00,2026-04-16,post_purchase,/locations,desktop,4,9,1,Would love to see nutritional info on the menu pages.,browse,positive,True
MED-5014,2026-04-16T20:05:00,2026-04-16,web_intercept,/order/checkout,mobile,3,1,6,The checkout error message flashes for half a second and then the form resets. I have no idea what I did wrong.,checkout,neutral,False
MED-5015,2026-04-16T22:57:00,2026-04-16,web_intercept,/rewards/signup,mobile,2,3,6,Tried three different email addresses to sign up for rewards. None of them worked. What email format do you want??,signup,negative,False
MED-5016,2026-04-16T17:55:00,2026-04-16,app_feedback,/blog,desktop,5,7,2,The party packs are an amazing deal. Ordered for my office happy hour.,browse,positive,False
MED-5017,2026-04-16T19:18:00,2026-04-16,web_intercept,/,desktop,4,7,2,"Catering quote form worked great, got a response within an hour.",browse,positive,False
MED-5018,2026-04-16T19:14:00,2026-04-16,post_purchase,/order/checkout,desktop,2,3,7,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5019,2026-04-16T18:47:00,2026-04-16,web_intercept,/,mobile,5,10,1,The party packs are an amazing deal. Ordered for my office happy hour.,browse,positive,False
MED-5020,2026-04-16T14:29:00,2026-04-16,email_survey,/rewards/signup,desktop,1,3,7,Wanted the 10% off first order through rewards but can't even sign up. Email validation is too strict.,signup,negative,False
MED-5021,2026-04-17T08:26:00,2026-04-17,app_feedback,/order/checkout,mobile,2,0,7,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,False
MED-5022,2026-04-17T12:29:00,2026-04-17,email_survey,/blog,desktop,3,6,2,Really enjoy the recipes section. Made the classic lime at home!,browse,neutral,True
MED-5023,2026-04-17T10:23:00,2026-04-17,post_purchase,/recipes,desktop,5,9,2,"Catering quote form worked great, got a response within an hour.",browse,positive,True
MED-5024,2026-04-17T22:30:00,2026-04-17,post_purchase,/order/build-your-own,desktop,4,5,4,Love the build-your-own concept but the UI is broken on mobile. Buttons are hidden behind images.,build,positive,True
MED-5025,2026-04-17T09:21:00,2026-04-17,email_survey,/rewards/login,mobile,2,3,7,Is the rewards login broken? I've tried 5 times and it silently fails every time.,login,negative,False
MED-5026,2026-04-17T13:26:00,2026-04-17,email_survey,/order/checkout,mobile,3,2,7,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,neutral,True
MED-5027,2026-04-17T20:18:00,2026-04-17,web_intercept,/order/checkout,mobile,1,2,7,"I filled out my entire address and when it said my zip code was wrong, it cleared EVERYTHING. I had to start over three times before I gave up.",checkout,negative,True
MED-5028,2026-04-17T12:17:00,2026-04-17,post_purchase,/rewards/signup,mobile,1,2,5,My email has a period in it (first.last@email.com) and your form says it's invalid. Come on.,signup,negative,False
MED-5029,2026-04-17T16:05:00,2026-04-17,post_purchase,/order/checkout,desktop,1,2,7,Tried to order a party pack for Saturday. Checkout form wiped my address twice. Ended up ordering from a competitor.,checkout,negative,False
MED-5030,2026-04-17T16:41:00,2026-04-17,post_purchase,/order/checkout,mobile,1,4,5,Why does the page jump around so much when I'm trying to enter my credit card? The layout kept shifting and I accidentally clicked the wrong button.,checkout,negative,False
MED-5031,2026-04-17T22:21:00,2026-04-17,web_intercept,/order/build-your-own,desktop,4,3,5,Price calculator seems broken - shows $0 no matter what I add. Had to call to find out the real price.,build,positive,False
